HIGHDEG,TUITFTE,SATVR25,SATVR75,SATMT25,SATMT75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,COSTT4_A,NPT4_PRIV,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,MARRIED,DEPENDENT,FIRST_GEN,PCTFLOAN,PCTPELL,COSTT4_A.1,C100_4,C150_4,GT_25K_P10,Earning
-0.344062123,-0.350335665,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-0.393497087,-0.21482528,-0.525457517,0.142375965,-0.127595934,-1.898278657,-0.406118567,0.104040387,-0.216475621,9.841461481,1.570127634,-0.830627557,-0.511208751,-0.659603438,-1.497648371,0.220768065,0.813742487,-0.045451706,1.358493127,-0.393497087,-0.061207056,-0.029368086,-2.104919057,-1.655345273
-0.344062123,0.086933057,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-0.095161815,0.654282823,-0.496976855,-1.127482949,1.136563964,-1.345285854,-0.62628639,0.002219901,-0.547055705,9.043460727,-0.131017273,-0.624638426,-0.511208751,-0.254260026,0.704026512,-0.118634102,0.8716976,1.06557986,1.854145674,-0.095161815,0.353512949,0.403051064,0.104510079,-0.509927178
0.673814249,0.365558179,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,0.887966786,1.240186494,0.090641388,1.606525151,-1.585174147,0.006314738,-0.60023975,-0.331712688,0.265436678,-0.10510002,0.081152248,2.562772338,0.774290535,0.694871553,1.005184732,0.050472919,0.47719667,-0.109689154,-0.652681453,0.887966786,0.477135897,0.583476301,0.738572564,1.295719949
0.673814249,-0.256354237,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-1.708759169,-1.938632282,-0.441652352,-0.598065195,0.609522191,-0.196568985,-0.211997383,0.098249648,-0.419231406,0.307759603,-0.021143771,0.426990295,-0.473514636,1.615457821,0.993402449,-0.219275687,0.613837756,0.240508548,0.451674263,-1.708759169,-1.616212698,-1.798287174,0.563866511,0.35247145
0.673814249,0.085703738,1.01512055,1.277063879,0.905984088,1.032272699,1.069400986,1.515467489,1.096117394,1.27367006,0.611395086,0.694437885,-0.405969684,-0.094676761,0.10839292,0.455531619,-0.585004923,-0.516051198,-0.223821845,0.355902244,-0.131017273,0.441445673,0.11919282,1.068815122,0.614170922,0.135086819,0.291858183,0.195611407,0.171662759,0.611395086,0.200811395,0.228940711,0.387654371,-0.1191528
-0.344062123,-0.164954379,0.870451988,0.989279616,0.844764059,0.931688131,0.97558684,1.077427769,1.000670936,1.123826523,0.200249153,0.976582817,-0.351627273,0.677371429,-0.660190386,0.100754418,-0.262124879,0.200552696,-0.381031041,0.00723281,0.175870784,1.149759176,-0.23825137,-0.084415428,0.502926239,0.645588194,0.382028903,-0.302746862,-0.436235779,0.200249153,0.658294055,0.625274814,0.337953511,-0.200002671
-0.344062123,-0.201188553,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-0.595217845,-0.409667387,-0.26127483,1.113362521,-1.094224787,-1.911205761,3.947110408,-0.568650406,-0.530894012,-0.157619265,-0.131017273,-0.830627557,-0.395526813,-0.659603438,0.421857931,0.539564511,0.705184739,1.101152211,1.682759323,-0.595217845,0.008457197,-0.003056072,0.020169225,-0.559335433
-0.344062123,-0.175280658,1.056454424,0.97235113,1.069237499,1.065800889,1.257029279,1.369454249,1.382456768,1.198748291,0.181128702,-0.492096511,-0.328711798,0.459840693,-0.443635909,0.604911493,-0.347636489,-0.300346187,-0.313445779,0.053916584,-0.131017273,-0.830627557,-0.078376332,0.250991972,0.424015926,0.824146728,0.495392571,0.425968278,0.18292759,0.181128702,0.70105671,0.442293553,0.536756951,0.222213324
-2.379814868,-0.315668873,-0.869704138,-0.876239547,-0.873478098,-0.882186916,1.069400986,1.004421149,0.809778019,1.048904755,-0.3366981,0.227833949,-0.292047039,-1.465864094,1.473426484,0.604552407,0.298123601,-0.534871098,-0.363400103,-0.030697756,-0.131017273,-0.021126411,-0.511208751,-0.642476251,0.853593687,-0.077162619,0.601796819,0.607629019,0.365981087,-0.3366981,-1.616212698,-1.798287174,0.583445637,0.361454769
-0.344062123,-0.182226309,0.870451988,0.718423839,1.00801747,0.931688131,0.97558684,1.004421149,1.000670936,1.048904755,-0.493092142,-0.642015804,-0.296630134,0.513758568,-0.497311805,0.346728489,0.409190405,-0.398788743,-0.527955522,0.046622244,-0.081763634,-0.281323208,-0.099173085,-0.623921799,0.699890899,0.348360668,0.53945637,0.140353387,0.121775652,-0.493092142,0.445880284,0.182330858,0.331929165,-0.074236205
